Ticker,FirstMention,InitialPrice,CurrentPrice,ChangePct
AXTI,2025-12-26 23:08:13,15.37,105.99,589.59
SIVEF,2026-03-18 12:40:34,1.365,9.29,580.59
MXL,2026-03-17 20:38:10,16.81,94.21,460.44
NBCLF,2026-01-23 09:09:49,26.1543,137.95,427.45
AAOI,2025-12-23 08:22:48,40.64,184.07,352.93
AEHR,2026-01-16 15:57:59,28.81,116.58,304.65
SLOIF,2026-03-02 04:20:10,51.03,189.79,271.92
SNDK,2026-01-21 16:44:48,501.29,1831.5,265.36
MRVL,2026-01-02 20:46:56,89.281,316.43,254.42
DELL,2026-01-07 22:37:26,119.1782,421.08,253.32
NVTS,2026-03-24 10:09:07,9.28,30.84,232.33
MU,2026-01-02 20:46:56,315.2876,996.0,215.9
MRAM,2026-03-24 10:09:07,9.29,28.57,207.53
LPKFF,2026-01-19 02:38:48,8.3,25.11,202.53
WOLF,2026-01-19 02:38:48,20.5,61.67,200.83
INTC,2026-01-01 20:50:48,39.38,111.78,183.85
OSS,2026-01-02 20:46:56,6.8,19.02,179.71
NBIS,2025-11-18 00:12:21,90.54,251.68,177.98
VPG,2026-01-21 01:28:02,46.81,128.24,173.96
KORU,2026-02-13 20:16:49,447.3549,1196.72,167.51
ARM,2026-03-25 03:56:18,157.07,411.83,162.2
HUT,2026-01-01 20:50:48,51.27,131.29,156.08
HIMX,2026-03-14 05:59:20,9.56,23.93,150.31
STM,2026-02-07 21:44:23,32.4176,78.36,141.72
LITE,2025-12-22 16:27:15,389.88,938.0,140.59
DRAM,2026-04-03 10:35:36,29.16,69.71,139.06
AMD,2026-01-01 20:50:48,223.47,523.2,134.13
VSH,2026-04-23 03:12:29,27.33,63.67,132.97
MEI,2026-03-23 15:37:02,5.461,12.72,132.92
SIMO,2026-02-16 17:09:30,131.0919,294.67,124.78
STX,2026-02-16 17:09:30,415.2157,925.99,123.01
COHR,2025-12-22 16:27:15,190.98,421.9,120.91
UMC,2026-03-17 20:38:10,9.52,20.79,118.38
WULF,2025-11-18 00:12:21,12.0,26.19,118.25
POET,2026-01-01 20:50:48,7.16,15.48,116.2
SMTOY,2025-12-26 23:08:13,40.2,86.69,115.65
SANM,2026-03-26 16:33:42,130.97,280.13,113.89
TRT,2026-04-03 11:21:21,6.02,12.67,110.47
SMTC,2026-01-23 00:02:53,80.52,169.35,110.32
VICR,2026-01-16 15:57:59,149.88,306.12,104.24
WDC,2026-02-16 17:09:30,283.9741,575.5,102.66
ON,2026-02-07 18:53:42,65.1,131.82,102.49
ALAB,2026-01-01 20:50:48,179.56,363.54,102.46
IFNNY,2026-02-07 18:53:42,49.5184,99.09,100.11
BE,2026-02-15 23:48:07,145.32,287.32,97.72
MTSI,2026-01-10 23:48:57,197.55,390.34,97.59
GFS,2026-01-20 06:23:23,43.62,85.99,97.13
VECO,2026-01-23 00:02:53,32.35,63.66,96.79
INTT,2026-01-19 02:38:48,8.77,17.21,96.24
APLD,2025-11-18 00:12:21,22.84,44.71,95.75
AEVA,2026-02-10 02:24:50,12.94,25.31,95.6
FLKR,2026-01-13 08:52:08,35.2,68.72,95.23
TSEM,2026-02-11 11:05:38,134.44,261.31,94.37
ASX,2026-01-25 04:46:07,19.83,38.4,93.65
TTMI,2026-03-26 16:33:42,95.93,184.84,92.68
NOK,2026-03-14 05:59:20,8.65,16.62,92.14
QCOM,2026-03-30 17:08:11,126.6024,242.57,91.6
EWY,2026-01-13 08:52:08,107.54,203.97,89.67
ATOM,2026-03-24 10:09:07,4.82,9.1,88.8
TSSI,2026-01-02 20:46:56,7.69,14.49,88.43
AKAM,2026-01-01 20:50:48,85.1,158.98,86.82
VRT,2026-02-05 06:48:03,177.7077,331.44,86.51
NRGV,2026-02-15 23:48:07,3.15,5.86,86.03
LSCC,2026-01-10 23:48:57,83.1,151.92,82.82
CIFR,2025-11-18 00:12:21,14.58,26.24,79.97
NTAP,2026-02-16 17:09:30,100.5549,178.87,77.88
TER,2026-01-23 00:02:53,228.9977,406.86,77.67
ACLS,2026-01-23 00:02:53,91.12,161.87,77.64
LASR,2026-01-24 06:24:24,43.58,76.39,75.29
FORM,2026-01-23 00:02:53,73.2,126.61,72.96
VIAV,2026-03-17 20:38:10,30.84,53.21,72.54
