Ticker,FirstMention,Frequency,Status
SIVE,2026-03-16 16:54:18,324,Related
LITE,2025-12-22 16:27:15,248,Related
NVDA,2025-12-22 16:27:15,234,Related
AXTI,2025-12-26 23:08:13,227,Related
AAOI,2025-12-23 08:22:48,193,Related
COHR,2025-12-22 16:27:15,133,Related
SOI,2026-03-11 23:18:28,131,Related
MRVL,2026-01-02 20:46:56,115,Related
SNDK,2026-01-21 16:44:48,106,Related
GOOGL,2025-12-22 16:27:15,105,Related
TSM,2025-12-22 16:27:15,102,Related
IQE,2026-01-19 02:38:48,98,Related
AMZN,2025-12-22 16:27:15,98,Related
MSFT,2025-11-18 00:12:21,97,Related
MU,2026-01-02 20:46:56,94,Related
META,2025-11-18 00:12:21,88,Related
AVGO,2025-12-22 16:27:15,88,Related
TSEM,2026-02-11 11:05:38,82,Related
INTC,2026-01-01 20:50:48,80,Related
NBIS,2025-11-18 00:12:21,74,Related
JBL,2026-03-19 14:58:23,71,Related
POET,2026-01-01 20:50:48,69,Related
EWY,2026-01-13 08:52:08,68,Related
IREN,2025-11-18 00:12:21,61,Related
AEHR,2026-01-16 15:57:59,60,Related
AMD,2026-01-01 20:50:48,53,Related
RPI,2026-02-16 23:12:37,47,Related
MTSI,2026-01-10 23:48:57,45,Related
HOOD,2026-01-01 20:50:48,41,Unrelated
RDDT,2026-01-02 20:46:56,40,Unrelated
CRCL,2026-01-01 20:50:48,39,Unrelated
LPK,2026-04-03 11:21:21,38,Related
ARM,2026-03-25 03:56:18,34,Related
TSLA,2026-01-01 20:50:48,34,Related
RKLB,2026-01-01 20:50:48,34,Unrelated
XFAB,2026-05-27 15:29:00,32,Related
AAPL,2026-02-18 07:37:34,32,Related
VPG,2026-01-21 01:28:02,31,Related
HIMS,2026-01-02 20:46:56,29,Unrelated
GFS,2026-01-20 06:23:23,27,Related
FN,2026-02-25 20:41:36,26,Related
ALRIB,2026-04-09 01:21:19,26,Related
ORCL,2025-11-18 00:12:21,24,Related
LPTH,2026-01-15 01:53:03,22,Related
HPS.A,2026-04-07 22:13:19,21,Unknown
NOK,2026-03-14 05:59:20,20,Related
NVTS,2026-03-24 10:09:07,19,Related
OSS,2026-01-02 20:46:56,17,Related
AVAV,2026-01-03 17:43:52,17,Unrelated
AMKR,2026-01-02 20:46:56,17,Related
XLU,2026-02-20 02:48:04,16,Related
IBKR,2026-01-26 06:16:17,16,Unrelated
LWLG,2026-03-16 16:54:18,15,Related
SIVEF,2026-03-18 12:40:34,15,Related
PLTR,2026-01-02 20:46:56,14,Related
LASR,2026-01-24 06:24:24,14,Related
CRWV,2025-11-18 00:12:21,14,Related
WOLF,2026-01-19 02:38:48,14,Related
ONDS,2026-01-01 20:50:48,14,Unrelated
CVX,2026-01-04 00:31:04,14,Unrelated
NVO,2026-02-07 06:38:12,13,Unrelated
AEVA,2026-02-10 02:24:50,12,Related
GLW,2026-02-07 18:53:42,12,Related
CRDO,2026-01-01 20:50:48,12,Related
ONTO,2026-01-23 00:02:53,12,Related
VLN,2026-01-09 22:45:15,12,Related
APPL,2026-01-14 16:23:19,12,Related
PYPL,2026-01-01 20:50:48,11,Unrelated
SNAP,2026-01-02 20:46:56,11,Unrelated
SMCI,2026-01-02 20:46:56,11,Related
FORM,2026-01-23 00:02:53,11,Related
SLOIF,2026-03-02 04:20:10,11,Related
TER,2026-01-23 00:02:53,11,Related
ETOR,2026-01-02 20:46:56,10,Unrelated
BKKT,2026-01-21 20:09:19,10,Unrelated
RTX,2026-01-03 17:43:52,10,Unrelated
VRT,2026-02-05 06:48:03,10,Related
AIRO,2026-01-02 20:46:56,10,Unrelated
ASML,2026-02-27 01:55:14,10,Related
CIFR,2025-11-18 00:12:21,10,Related
VICR,2026-01-16 15:57:59,9,Related
ASX,2026-01-25 04:46:07,9,Related
KRKNF,2026-01-02 20:46:56,9,Unrelated
FLNC,2026-02-15 23:48:07,9,Related
COIN,2026-01-25 00:16:57,9,Unrelated
HIMX,2026-03-14 05:59:20,8,Related
BMNR,2026-01-02 20:46:56,8,Unrelated
SMTC,2026-01-23 00:02:53,8,Related
MP,2026-01-16 15:57:59,8,Unrelated
POWL,2026-04-09 18:27:36,8,Related
IBIT,2026-01-25 00:16:57,8,Unrelated
CAMT,2026-02-07 18:53:42,7,Related
SIMO,2026-02-16 17:09:30,7,Related
ASST,2026-02-17 16:25:06,7,Unrelated
POWI,2026-05-27 10:49:43,7,Related
GDRZF,2026-01-04 18:18:01,7,Unrelated
SPY,2026-03-23 16:56:49,7,Unrelated
ETN,2026-02-07 18:53:42,7,Related
CODA,2026-01-19 02:38:48,6,Unrelated
CSCO,2026-01-01 20:50:48,6,Related
KEYS,2026-03-17 20:38:10,6,Related
SMTOY,2025-12-26 23:08:13,6,Related
DUOL,2026-02-04 17:00:03,6,Unrelated
CEG,2026-02-15 23:48:07,6,Related
STM,2026-02-07 21:44:23,6,Related
VCX,2026-03-26 19:59:27,6,Unrelated
KLAC,2026-01-23 00:02:53,6,Related
RGTI,2026-01-02 20:46:56,6,Related
VNP,2026-01-19 02:38:48,6,Related
APH,2026-02-07 18:53:42,6,Related
MSTR,2026-01-05 01:50:58,6,Unrelated
PLAB,2026-01-19 02:38:48,5,Related
ALAB,2026-01-01 20:50:48,5,Related
AMAT,2026-01-25 04:46:07,5,Related
DRAM,2026-04-03 10:35:36,5,Related
AMC,2026-03-07 02:53:19,5,Unrelated
ERIC,2026-03-24 11:51:08,5,Related
ETH,2026-01-02 20:46:56,5,Unrelated
QLCM,2026-02-07 18:53:42,5,Related
NOC,2026-01-13 18:57:40,5,Unrelated
NEE,2026-02-15 23:48:07,5,Related
ASPI,2026-04-03 11:21:21,5,Unrelated
ASTS,2026-01-01 20:50:48,5,Unrelated
YSS,2026-05-01 14:02:46,5,Related
MTRN,2026-01-19 02:38:48,5,Related
AMSC,2026-04-23 03:12:29,5,Related
FIG,2026-01-25 00:16:57,5,Unrelated
USAR,2026-01-26 23:14:41,5,Related
VECO,2026-01-23 00:02:53,5,Related
TTD,2026-01-02 20:46:56,5,Unrelated
PLPC,2026-04-23 03:12:29,4,Related
WULF,2025-11-18 00:12:21,4,Related
ALMU,2026-01-17 16:07:09,4,Related
GLXY,2026-01-02 20:46:56,4,Unrelated
ON,2026-02-07 18:53:42,4,Related
LMT,2026-01-30 01:09:02,4,Unrelated
SPCX,2026-05-26 01:49:06,4,Unrelated
EOS,2026-04-03 11:21:21,4,Related
BA,2026-01-03 17:43:52,4,Unrelated
SLV,2026-01-26 23:14:41,4,Unrelated
BULL,2026-01-02 20:46:56,4,Unrelated
FLY,2026-01-02 20:46:56,4,Unrelated
PL,2026-03-21 00:03:20,4,Related
KORU,2026-02-13 20:16:49,4,Related
PINS,2026-02-13 08:36:35,4,Unrelated
FLKR,2026-01-13 08:52:08,4,Related
PENG,2026-05-15 22:49:56,4,Related
LPKFF,2026-01-19 02:38:48,4,Related
VST,2026-02-15 23:48:07,4,Related
AMBA,2026-01-16 15:57:59,4,Related
MOG.A,2026-04-09 18:27:36,4,Unknown
CPSH,2026-01-19 02:38:48,4,Related
HII,2026-01-03 17:43:52,4,Unrelated
JPM,2026-02-01 19:14:21,4,Unrelated
BOT,2026-05-13 07:00:30,4,Related
INFQ,2026-02-18 22:54:07,3,Related
FISV,2026-01-02 20:46:56,3,Unrelated
KLIC,2026-02-25 01:02:29,3,Related
MXL,2026-03-17 20:38:10,3,Related
MITK,2026-04-03 11:21:21,3,Unrelated
